I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
Yes , I would like it the same day at 14:00 . I would also like the reference number from the train and restaurant please . ||| Iva , nixtieq fl istess jum fis 14:00 . Nixtieq ukoll in numru ta' referenza mill ferrovija u r ristorant jekk jogħġbok .
confirm for the train is EZNVJAPG . How many for the reservation please ? ||| tikkonferma għall ferrovija hija EZNVJAPG . Kemm għall prenotazzjoni jekk jogħġbok ?
The restaurant is for six as well . ||| Ir ristorant huwa għal sitta wkoll .
Your reservation for 6 people at the curry prince for tuesday at 14:00 was successful . The table will be reserved for 15 minutes . Reference number is : ZDGUJIVY . ||| Ir riżervazzjoni tiegħek għal 6 persuni fil curry prince għat Tlieta fis 14:00 kienet suċċess . Il mejda tkun riservata għal 15 il minuta . In numru ta' referenza huwa: ZDGUJIVY .
Ok thank you ! That is all I need . ||| OK grazzi ! Dan huwa dak kollu li għandi bżonn .
Is there anything else that you would like ? ||| Hemm xi ħaġa oħra li tixtieq ?
No , that's all . Thank you ||| Le , dak kollu . Grazzi
Thank you for using our services . Have a wonderful day ! ||| Grazzi talli tuża s servizzi tagħna . Have a ġurnata mill isbaħ !
I'm trying to find a 4 star hotel that's moderately priced please ||| Qed nipprova nsib lukanda ta' 4 stilel bi prezz moderat jekk jogħġbok
Do you have a certain area you would like ? ||| Għandek ċerta żona li tixtieq ?
No . but it should also have free wifi . ||| Le imma għandu jkollu wkoll wifi b'xejn .
I was not able to find any hotels matching that requirement , is there something else you would like to try ? ||| Ma kontx kapaċi nsib l ebda lukanda li taqbel ma' dak ir rekwiżit , hemm xi ħaġa oħra li tixtieq tipprova ?
You don't have any moderately priced 4 stars with wifi ? ||| M'għandekx 4 stilel bi prezz moderat b'wifi ?
We do have guesthouses available . Is that okay ? ||| Għandna guesthouses disponibbli . Huwa tajjeb ?
Yes if you can find a place for 5 people ||| Iva jekk tista' ssib post għal 5 persuni
I can help ! for how many days starting when ? ||| Nista' ngħin ! għal kemm il ġurnata tibda meta ?
2 nights , starting on Wednesday please ||| 2 iljieli , li jibdew mill Erbgħa jekk jogħġbok
The acorn guest house Booking was successful . Reference number is : MZ8CPFEK ||| Il Booking tal guest house tal ġandar kien suċċess . Numru ta' referenza huwa: MZ8CPFEK
Great ! Thank you . I need to find a restaurant called rice boat . ||| Kbir ! Grazzi . Għandi bżonn insib ristorant imsejjaħ dgħajsa tar ross .
What would you like to know about it ? ||| X'tixtieq tkun taf dwarha ?
What type of food do they serve ? ||| X'tip ta' ikel iservu ?
They serve Indian food . Do you need any other information , or help making a booking ? ||| Huma jservu ikel Indjan . Għandek bżonn xi informazzjoni oħra , jew għajnuna biex tagħmel prenotazzjoni ?
Not at this time . ||| Mhux f'dan iż żmien .
Alright , well if there's nothing else i can do for you today , enjoy your time in Cambridge ! ||| Tajjeb , jekk m'hemm xejn aktar li nista' nagħmel għalik illum , gawdi l ħin tiegħek f'Cambridge !
i'm looking for a place called kambar ||| qed infittex post imsejjaħ kambar
Sure , I found it ! It's located at 1 Wheeler Street . It's a nightclub in the city's centre and it has a 5 pounds entrance fee . ||| Żgur , sibtha ! Jinsab f'1 Wheeler Street . Huwa nightclub fiċ ċentru tal belt u għandu miżata tad dħul ta '5 liri .
Please give me their postcode ||| Jekk jogħġbok agħtini l kodiċi postali tagħhom
The postcode for Kambar is CB23QB . ||| Il kodiċi postali għal Kambar huwa CB23QB .
I also need a place to stay , a hotel with free parking and in the center of town . ||| Għandi bżonn ukoll post fejn noqgħod , lukanda b'parkeġġ b'xejn u fiċ ċentru tal belt .
I have 2 hotels in the expensive price range and 2 guesthouses in the cheap price range . Do you have a preference ? ||| Għandi 2 lukandi fil firxa ta 'prezzijiet għaljin u 2 guesthouses fil firxa ta' prezzijiet irħas . Għandek preferenza ?
I would prefer a guesthouse ||| Nippreferi guesthouse
I have two to choose from . May I recommend The Alexander Bed and Breakfast ? ||| Għandi tnejn minn fejn nagħżel . Nista 'nirrakkomanda The Alexander Bed and Breakfast ?
That would be fine . Could you tell me how many stars it has ? ||| Dan ikun tajjeb . Tista' tgħidli kemm għandha stilel ?
It has 4 stars . Can I book a room for you ? ||| Għandu 4 stilel . Nista' nibbukkja kamra għalik ?
no whats the price range , postcode please ? ||| le x'inhi l firxa tal prezzijiet , kodiċi postali jekk jogħġbok ?
It's in the cheap price range and the post code is cb12de . ||| Huwa fil firxa tal prezz irħas u l kodiċi postali huwa cb12de .
Can you help me with a taxi also please ? ||| Tista 'tgħinni b'taxi wkoll jekk jogħġbok ?
Where are you leaving from and going to ? When do you want to leave by or arrive by ? ||| Minn fejn titlaq u sejjer ? Meta trid titlaq jew tasal ?
I will go from the hotel to the Kambar , leave by 17:30 . ||| Se mmur mil lukanda sal Kambar , nitlaq sa 17:30 .
Booking completed ! Booked car type : blue bmw Contact number : 07612500286 ||| Booking lest ! Tip ta karozza bbukkjata : blu bmw Numru ta kuntatt : 07612500286
thanks for helping . that will be it for today ||| grazzi għall għajnuna . dak se jkun għal lum
You're welcome , have a great day ! ||| Int merħba , il ġurnata tajba !
I'm looking for a restaurant in the north part and in cheap price range . ||| Qed infittex ristorant fin naħa tat tramuntana u f'firxa ta' prezzijiet irħas .
sure , i have a couple options for you ||| żgur , għandi ftit għażliet għalik
Great , thank you ! What are they ? ||| Kbir , grazzi ! X'inhuma ?
There is royal spice which is a indian restaurant . There is also Da vinci pizzeria which is a italian restaurant . Do you need any more information ? ||| Hemm ħwawar irjali li huwa ristorant Indjan . Hemm ukoll il pizzeria Da vinci li hija ristorant Taljan . Għandek bżonn aktar informazzjoni ?
Please book a table for 5 at 14:30 on Wednesday at Royal Spice . I will need the reference number . I also need to find a place to stay . ||| Jekk jogħġbok ibbukkja mejda għal 5 fl 14:30 nhar l Erbgħa fir Royal Spice . Ikolli bżonn in numru ta' referenza . Għandi bżonn ukoll insib post fejn noqgħod .
I was able to book your table successfully . Your reference number is KQMXIL0Z . Now , what type of accommodations are you looking for today ? ||| Stajt nibbukkja l mejda tiegħek b'suċċess . In numru ta' referenza tiegħek huwa KQMXIL0Z . Issa , liema tip ta akkomodazzjoni qed tfittex illum ?
The hotel should be in the same area as the restaurant and should include free wifi . ||| Il lukanda għandha tkun fl istess żona tar ristorant u għandha tinkludi wifi b'xejn .
Do you have a price range or star rating preference ? ||| Għandek firxa tal prezzijiet jew preferenza tal klassifikazzjoni tal istilla ?
I'd like a hotel , not a guesthouse , and I'd like a 2 star place . ||| Nixtieq lukanda , mhux guesthouse , u nixtieq post 2 stilel .
I found two options that meet your criteria: Ashley Hotel and Lovell Lodge . Which one would you like ? ||| Sibt żewġ għażliet li jissodisfaw il kriterji tiegħek: Ashley Hotel u Lovell Lodge . Liema waħda tixtieq ?
I would like to book the Ashley Hotel for 5 people for 2 nights . ||| Nixtieq nibbukkja l Ashley Hotel għal 5 persuni għal 2 iljieli .
What day would you like to start your stay ? ||| Liema jum tixtieq tibda l waqfa tiegħek ?
On Wednesday please . ||| Nhar l Erbgħa jekk jogħġbok .
The hotel booking is complete . The reference number is JATTLNEH . ||| Il prenotazzjoni tal lukanda hija kompluta . In numru ta' referenza huwa JATTLNEH .
Great . Thank you . Goodbye ||| Kbir . Grazzi . Adieu
Thank you and have a wonderful day ! ||| Grazzi u jkollok ġurnata mill isbaħ !
I'm hoping you can help me find an expensive hotel on the North end ||| Qed nittama li tista tgħinni nsib lukanda għalja fit Tramuntana
There are no results . Is there another area we can search or a different price range ? ||| M'hemmx riżultati . Hemm qasam ieħor li nistgħu nfittxu jew firxa ta' prezzijiet differenti ?
I am looking specifically for a guesthouse in the expensive price range in the north . Can you look again please ? ||| Qed infittex speċifikament guesthouse fil firxa ta 'prezzijiet għaljin fit tramuntana . Tista 'tfittex mill ġdid jekk jogħġbok ?
I'm sorry , there are no hotels meeting your requirements . ||| Jiddispjaċini , m'hemm l ebda lukanda li tissodisfa r rekwiżiti tiegħek .
Perhaps you could check the moderate price range in the north area of town . ||| Forsi tista 'tiċċekkja l firxa ta' prezzijiet moderata fiż żona tat tramuntana tal belt .
acorn guest house is very nice . ||| guest house tal ġandar hija sabiħa ħafna .
Okay , great ! I'll need it booked for Sunday , 5 nights , and 5 people , please ? ||| Tajjeb , kbir ! Ikolli bżonnha bbukkjata għall Ħadd , 5 iljieli , u 5 persuni , jekk jogħġbok ?
Your booking for the acorn guesthouse is successful . Your reference number is 5DR3NH3R . Can I help you with anything else ? ||| Il prenotazzjoni tiegħek għall guesthouse tal ġandar hija suċċess . In numru ta' referenza tiegħek huwa 5DR3NH3R . Nista ngħinek b xi ħaġa oħra ?
Yes , I'm also looking for a place to dine . I'd like for it to be in the north and serve modern American food . ||| Iva , qed infittex ukoll post fejn niekol . Nixtieq li jkun fit tramuntana u jservi ikel Amerikan modern .
We don't have any that match . Do you have any other location preferences ? ||| Aħna m'għandniex xi taqbila . Għandek xi preferenzi oħra tal post ?
Okay can you look out for any in still the same location with the Hotel that serves asian oriental food . ||| Tajjeb tista' toqgħod attenta għal xi ħadd li għadu fl istess post mal Lukanda li sservi ikel orjentali ażjatiku .
saigon city is asian oriental . Want to book ? ||| Saigon belt hija orjentali ażjatiċi . Trid tibbukkja ?
No thank you . I just need the price range and postcode . ||| Le grazzi . Għandi bżonn biss il firxa tal prezzijiet u l kodiċi postali .
Saigon city is in the expensive price range , and the postcode is cb41nl . ||| Il belt ta 'Saigon tinsab fil medda ta' prezzijiet għalja , u l kodiċi postali huwa cb41nl .
Thank you for all your help ! ||| Grazzi tal għajnuna kollha tiegħek !
Can I be of further assistance today ? ||| Nista' nkun ta' aktar għajnuna llum ?
That's all , goodbye ! ||| Dak kollu , addio !
Have a great day . ||| Il ġurnata t tajba .
Please find a restaurant called Nusha . ||| Jekk jogħġbok sib restorant jismu Nusha .
I don't seem to be finding anything called Nusha . What type of food does the restaurant serve ? ||| Ma jidhirx li qed insib xi ħaġa li tissejjaħ Nusha . X'tip ta' ikel iservi r ristorant ?
I am not sure of the type of food but could you please check again and see if you can find it ? Thank you . ||| M'inix ċert mit tip ta' ikel imma tista' jekk jogħġbok erġa' tiċċekkja u tara jekk tistax issibu ? Grazzi .
Could you double check that you've spelled the name correctly ? The closest I can find is Nandos . ||| Tista' tiċċekkja doppjament li tajt l isem b'mod korrett ? L eqreb li nista' nsib huwa Nandos .
It's not a restaurant , it's an attraction . Nusha . ||| Mhuwiex ristorant , huwa attrazzjoni . Nusha .
oh its okay . that is an entertainment type located in the south at unit g6 , cambridge leisure park , clifton road . do you need their phone number ? ||| oh sew . li huwa tip ta 'divertiment li jinsab fin nofsinhar fl unità g6 , park ta' divertiment ta 'Cambridge , triq ta' clifton . għandek bżonn in numru tat telefon tagħhom ?
No , but please confirm their address again and their postcode . ||| Le , imma jekk jogħġbok ikkonferma l indirizz tagħhom mill ġdid u l kodiċi postali tagħhom .
Their address is Unit g6 , Cambridge Leisure Park , Clifton road . The postcode is CB17DY . Is their anything else I can do for you ? ||| L indirizz tagħhom huwa Unit g6 , Cambridge Leisure Park , Clifton road . Il kodiċi postali huwa CB17DY . Hija xi ħaġa oħra tagħhom li nista 'nagħmel għalik ?
I want Indian food in the center area . ||| Irrid ikel Indjan fiż żona taċ ċentru .
There are nine Indian restaurants in centre what price range do you want ? ||| Hemm disa 'ristoranti Indjani fiċ ċentru liema firxa ta' prezzijiet trid ?
I am looking for expensive Indian food . ||| Qed infittex ikel Indjan għali .
saffron brasserie is an expensive restaurant that serves italian food ||| Brasserie taż żagħfran huwa ristorant għali li jservi ikel Taljan
Can I get the address for saffron brasserie ? ||| Nista 'nikseb l indirizz għall brasserie taż żagħfran ?
the address is Hills Road City Centre ||| l indirizz huwa Hills Road City Center
Can I clarify that it was Indian food and not Italian food please ? ||| Nista' niċċara li kien ikel Indjan u mhux ikel Taljan jekk jogħġbok ?
Yes , saffron brasserie is Indian food . ||| Iva , il brasserie taż żagħfran hija ikel Indjan .
Thank you that is all the information I need at the moment . ||| Grazzi dik hija l informazzjoni kollha li għandi bżonn bħalissa .
i hope i have been of help ||| nispera li kont ta' għajnuna
You have . Thank you . Goodbye . ||| Għandek . Grazzi . Adieu .
I am glad to help . Enjoy your stay ! ||| Jien kuntent li ngħin . Igawdu l waqfa tiegħek !
I am looking for a restaurant named Meghna . ||| Qed infittex ristorant jismu Meghna .
Meghna has Indian cuisine and is found on the west end . Can I make a reservation for you ? ||| Meghna għandha kċina Indjana u tinsab fit tarf tal punent . Nista' nagħmel riserva għalik ?
What is the price range for Meghna ? ||| X'inhi l firxa tal prezzijiet għal Meghna ?
Meghna is in the moderate price range . Is there anything else I can do for you ? ||| Meghna tinsab fil medda tal prezzijiet moderata . Hemm xi ħaġa oħra li nista' nagħmel għalik ?
Yes , I need a train leaving Cambridge . ||| Iva , għandi bżonn ferrovija li titlaq minn Cambridge .
Sure ! First , I need to know your destination and what day you want to travel . ||| Żgur ! L ewwel , għandi bżonn inkun naf id destinazzjoni tiegħek u liema ġurnata trid tivvjaġġa .
Heading to Norwich on Tuesday ||| Sejra lejn Norwich nhar it Tlieta
There are several trains that day , is there a certain time you'd like to leave by ? ||| Hemm diversi ferroviji dakinhar , hemm ċertu ħin li tixtieq titlaq ?
I would like to leave after 15:16 ||| Nixtieq nitlaq wara 15:16
Train TR6524 leaves at 15:36 on Tuesday . Would you like me to book that for you ? ||| Il ferrovija TR6524 titlaq fit 15:36 nhar it Tlieta . Tixtieq li nibbukkja dik għalik ?
